name,date,lsp_name,lsp_type,orbit,location,pad_name,Latitude,Longitude,location_launch_attempt_count,pad_launch_attempt_count,agency_launch_attempt_count,location_launch_attempt_count_year,pad_launch_attempt_count_year,agency_launch_attempt_count_year,image,landing,mission_type
Soyuz 2.1a | Kosmos 2567 (Bars-M No. 4),2023-03-23,Russian Space Forces,Government,SSO,"Plesetsk Cosmodrome, Russian Federation",43/3 (43L),62.9273,40.45,1660,227,131,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20230805184309.jpg,,Government/Top Secret
Kuaizhou-1A | Tianmu-1 03-06,2023-03-22,ExPace,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,188,38,21,6,3,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/kuaizhou_image_20191027094423.jpeg,,Earth Science
Falcon 9 Block 5 | SES-18 & SES-19,2023-03-17,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,878,173,232,10,10,19,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230317193600.jpeg,JRTI,Communications
Falcon 9 Block 5 | Starlink Group 2-8,2023-03-17,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,714,105,231,5,5,18,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230209215905.png,OCISLY,Communications
Long March 3B/E | Gaofen 13-02,2023-03-17,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,186,103,416,3,2,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907070810.jpeg,,Earth Science
Electron | Stronger Together,2023-03-16,Rocket Lab,Commercial,LEO,"Wallops Island, Virginia, USA",Rocket Lab Launch Complex 2 (Launch Area 0 C),37.834,-75.488,75,2,34,2,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/electron25202_image_20230824185319.jpeg,ATL,Earth Science
Long March 11 | Shiyan 19,2023-03-15,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,187,37,415,5,2,9,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march252011_image_20190222031217.jpeg,,Earth Science
Falcon 9 Block 5 | Dragon CRS-2 SpX-27,2023-03-15,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,217,159,230,4,4,17,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210922155253.jpeg,ASOG,Resupply
Long March 2C | Horus 2,2023-03-13,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,186,99,414,4,3,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907072536.jpeg,,Earth Science
Proton-M Briz-M | Olymp-K #2 (Luch 5X),2023-03-12,Khrunichev State Research and Production Space Center,Government,GTO,"Baikonur Cosmodrome, Republic of Kazakhstan",200/39 (200L),46.039984,63.032093,1540,167,193,4,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/proton-m2520briz-m_image_20190224012317.jpeg,,Government/Top Secret
Long March 4C | Tianhui-6 A/B,2023-03-09,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,117,67,413,2,2,7,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230801171843.jpeg,,Earth Science
Falcon 9 Block 5 | OneWeb 17,2023-03-09,SpaceX,Commercial,PO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,877,172,229,9,9,16,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,LZ-1,Communications
Falcon 9 Block 5 | Starlink Group 2-7,2023-03-03,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,713,104,228,4,4,15,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230209220217.png,OCISLY,Communications
Falcon 9 Block 5 | Crew-6,2023-03-02,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,216,158,227,3,3,14,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230301082227.jpeg,JRTI,Human Exploration
Falcon 9 Block 5 | Starlink Group 6-1,2023-02-27,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,876,171,226,8,8,13,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221220084708.png,ASOG,Communications
Long March 2C | Horus 1,2023-02-24,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,185,98,412,3,2,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907115503.jpeg,,Earth Science
Soyuz 2.1a | Soyuz MS-23,2023-02-24,Russian Federal Space Agency (ROSCOSMOS),Government,LEO,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1539,407,310,3,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20230805184309.jpg,,Human Exploration
Long March 3B/E | ChinaSat 26,2023-02-23,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,185,102,411,2,1,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907120240.jpeg,,Communications
Falcon 9 Block 5 | Inmarsat-6 F2,2023-02-18,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,875,170,225,7,7,12,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,JRTI,Communications
Falcon 9 Block 5 | Starlink Group 2-5,2023-02-17,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,712,103,224,3,3,11,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221221211141.png,OCISLY,Communications
Falcon 9 Block 5 | Starlink Group 5-4,2023-02-12,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,874,169,223,6,6,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221222092248.png,ASOG,Communications
SSLV | EOS-7 & rideshare (Demo 2),2023-02-10,Indian Space Research Organization,Government,LEO,"Satish Dhawan Space Centre, India",Satish Dhawan Space Centre First Launch Pad,13.733,80.235,85,54,81,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/sslv_image_20220912001724.jpeg,,Test Flight
Soyuz 2.1a | Progress MS-22 (83P),2023-02-09,Russian Federal Space Agency (ROSCOSMOS),Government,LEO,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1538,406,309,2,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20230805184309.jpg,,Resupply
Falcon 9 Block 5 | Amazonas Nexus,2023-02-06,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,873,168,222,5,5,9,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230205183117.jpeg,JRTI,Communications
Proton-M/Blok DM-03 | Elektro-L No.4,2023-02-05,Khrunichev State Research and Production Space Center,Government,Direct-GEO,"Baikonur Cosmodrome, Republic of Kazakhstan",81/24 (81P),46.071001,62.984999,1537,92,192,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/proton-m_image_20191211081456.jpeg,,Earth Science
Falcon 9 Block 5 | Starlink Group 5-3,2023-02-02,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,215,157,221,2,2,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221215080414.png,ASOG,Communications
Falcon 9 Block 5 | Starlink Group 2-6 & ION SCV009,2023-01-31,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,711,102,220,2,2,7,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221220083747.png,OCISLY,Communications
Falcon 9 Block 5 | Starlink Group 5-2,2023-01-26,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,872,167,219,4,4,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221214103909.png,JRTI,Communications
H-IIA 202 | IGS Radar 7,2023-01-26,Mitsubishi Heavy Industries,Commercial,SSO,"Tanegashima Space Center, Japan",Yoshinobu Launch Complex LP-1,30.400813,130.977748,86,53,47,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/h-iia2520202_image_20190222031201.jpeg,,Government/Top Secret
Electron | Virginia is for Launch Lovers,2023-01-24,Rocket Lab,Commercial,LEO,"Wallops Island, Virginia, USA",Rocket Lab Launch Complex 2 (Launch Area 0 C),37.834,-75.488,74,1,33,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/electron25202_image_20230824193959.jpeg,ATL,Dedicated Rideshare
Falcon 9 Block 5 | Starlink Group 2-4,2023-01-19,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,710,101,218,1,1,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221009234147.png,OCISLY,Communications
Falcon 9 Block 5 | GPS III SV06,2023-01-18,SpaceX,Commercial,MEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,871,166,217,3,3,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230117191931.jpeg,ASOG,Navigation
Falcon Heavy | USSF-67,2023-01-15,SpaceX,Commercial,Direct-GEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,214,156,216,1,1,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520heav_image_20230114185830.jpeg,MX Landing,Government/Top Secret
"Long March 2D | 6 x Jilin-1, Qilu-2/3 & others",2023-01-15,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,116,66,410,1,1,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907134308.jpeg,,Earth Science
Long March 2D | Yaogan 37 & Shiyan 22A/B,2023-01-13,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,184,97,409,2,1,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907133532.jpeg,,Government/Top Secret
Long March 2C | APStar 6E,2023-01-12,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,184,79,408,1,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907132545.jpeg,,Communications
Falcon 9 Block 5 | OneWeb 16,2023-01-10,SpaceX,Commercial,PO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,870,165,215,2,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,LZ-1,Communications
Ceres-1 | 5 satellites,2023-01-09,Galactic Energy,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,183,36,5,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/ceres-1252025_image_20230703095657.jpeg,,Technology
Long March 7A | Shijian 23,2023-01-08,China Aerospace Science and Technology Corporation,Government,GTO,"Wenchang Space Launch Site, People's Republic of China",201,19.618452,110.955356,22,13,407,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230907131003.jpeg,,Communications
Falcon 9 Block 5 | Transporter 6 (Dedicated SSO Rideshare),2023-01-03,SpaceX,Commercial,SSO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,869,164,214,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,LZ-1,Dedicated Rideshare
Falcon 9 Block 5 | EROS-C3,2022-12-30,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,709,100,213,16,13,61,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221230072048.jpeg,LZ-4,Earth Science
Long March 3B/E | Shiyan 10-02,2022-12-29,China Aerospace Science and Technology Corporation,Government,HEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,183,101,406,16,4,54,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 5-1,2022-12-28,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,868,163,212,38,30,60,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221029010840.png,ASOG,Communications
Long March 4B | Gaofen-11-04,2022-12-27,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,115,65,405,14,9,53,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25204_image_20190430065008.jpg,,Earth Science
Falcon 9 Block 5 | Starlink Group 4-37,2022-12-17,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,213,155,211,19,18,59,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221001060437.png,JRTI,Communications
Falcon 9 Block 5 | O3b mPower 1 & 2,2022-12-16,SpaceX,Commercial,MEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,867,162,210,37,29,58,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,ASOG,Communications
Falcon 9 Block 5 | SWOT (Surface Water and Ocean Topography),2022-12-16,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,708,99,209,15,12,57,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20221215075439.jpeg,LZ-4,Earth Science
Long March 11 | Shiyan 21,2022-12-16,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Mobile Launcher Pad,28.242774,102.032944,182,4,404,15,2,52,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march252011_image_20190222031217.jpeg,,Government/Top Secret
Long March 2D | Yaogan 36 Group 04,2022-12-14,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,181,78,403,14,10,51,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Government/Top Secret
"Ariane 5 ECA+ | Galaxy 35 & 36, MTG-I1",2022-12-13,Arianespace,Commercial,GTO,"Kourou, French Guiana",Ariane Launch Area 3,5.239,-52.768,316,116,311,5,3,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/ariane_5_eca25_image_20200220090552.jpeg,,Earth Science
Long March 4C | Shiyan 20A & 20B,2022-12-12,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,181,96,402,24,13,50,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_4c_image_20230801172338.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,2022-12-11,SpaceX,Commercial,LO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,866,161,208,36,28,56,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,LZ-2,Lunar Exploration
Smart Dragon 3 | Maiden Flight,2022-12-09,China Aerospace Science and Technology Corporation,Government,LEO,Sea Launch,Tai Rui mobile launch platform,34.899444,121.190278,44,3,401,3,2,49,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/smart_dragon_3_image_20221001082607.jpg,,Test Flight
Falcon 9 Block 5 | OneWeb 15,2022-12-08,SpaceX,Commercial,PO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,212,154,207,18,17,55,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20220322195146.jpeg,LZ-1,Communications
Long March 2D | Gaofen-5-01A,2022-12-08,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,114,64,400,13,8,48,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Earth Science
Kuaizhou 11 | Xingyun VDES,2022-12-07,ExPace,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,180,35,20,23,7,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/kuaizhou-11_image_20190726062549.jpg,,Communications
Soyuz 2.1b | Kosmos 2565 (Lotos-S1 #7),2022-11-30,Russian Space Forces,Government,LEO,"Plesetsk Cosmodrome, Russian Federation",43/4 (43R),62.92883,40.457098,1659,314,130,13,7,11,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b_image_20230802085331.jpg,,Government/Top Secret
Long March 2F/G | Shenzhou 15,2022-11-29,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-1 / 921),40.957893,100.290944,179,19,399,22,3,47,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_2_image_20210908195835.jpeg,,Human Exploration
Soyuz 2.1b/Fregat-M | Glonass-M No. 61 (Kosmos 2564),2022-11-28,Russian Space Forces,Government,MEO,"Plesetsk Cosmodrome, Russian Federation",43/3 (43L),62.9273,40.45,1658,226,129,12,4,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b2ffr_image_20230802085359.jpg,,Navigation
Long March 2D | Yaogan 36 Group 03,2022-11-27,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,180,77,398,13,9,46,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Dragon CRS-2 SpX-26,2022-11-26,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,211,153,206,17,16,54,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210922155149.jpeg,JRTI,Resupply
PSLV-XL | EOS-6 (Oceansat-3) & rideshare,2022-11-26,Indian Space Research Organization,Government,SSO,"Satish Dhawan Space Centre, India",Satish Dhawan Space Centre First Launch Pad,13.733,80.235,84,53,80,5,3,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/pslv_image_20190224012254.jpeg,,Earth Science
Falcon 9 Block 5 | Eutelsat 10B,2022-11-23,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,865,160,205,35,27,53,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,ATL,Communications
SLS Block 1 | Artemis I,2022-11-16,National Aeronautics and Space Administration,Government,LO,"Kennedy Space Center, FL, USA",Launch Complex 39B,28.62711233,-80.62101503,210,58,135,16,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/space_launch_sy_image_20220331082429.jpeg,,Human Exploration
"Ceres-1 | Jilin-1 High Resolution 03D-08, 51 to 54",2022-11-16,Galactic Energy,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,178,34,4,21,6,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/ceres-1252025_image_20230703100031.jpeg,,Earth Science
Long March 4C | Yaogan 34-03,2022-11-15,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,177,95,397,20,12,45,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_4c_image_20230801172338.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Galaxy 31 & 32,2022-11-12,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,864,159,204,34,26,52,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,ATL,Communications
Long March 7  | Tianzhou-5,2022-11-12,China Aerospace Science and Technology Corporation,Government,LEO,"Wenchang Space Launch Site, People's Republic of China",201,19.618452,110.955356,21,12,396,6,4,44,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_7_image_20210513083007.jpeg,,Resupply
Long March 6A | Yunhai 3,2022-11-11,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9A,38.8583,111.5802,113,2,395,12,2,43,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230905125753.jpeg,,Government/Top Secret
Atlas V 401 | JPSS 2 (Joint Polar Satellite System spacecraft No. 2) & LOFTID,2022-11-10,United Launch Alliance,Commercial,SSO,"Vandenberg SFB, CA, USA",Space Launch Complex 3E,34.64,-120.5895,707,48,156,14,1,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/atlas_v_401_image_20211015133735.jpeg,,Earth Science
Antares 230+ | Cygnus CRS-2 NG-18 (S.S. Sally Ride),2022-11-07,Northrop Grumman Space Systems,Commercial,LEO,"Wallops Island, Virginia, USA",Launch Area 0 A,37.8337,-75.4881,73,18,13,2,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/antares_230252_image_20230801170759.png,,Resupply
Long March 3B | ChinaSat 19,2022-11-05,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,179,100,394,12,3,42,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Communications
Electron | Catch Me If You Can,2022-11-04,Rocket Lab,Commercial,SSO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1B,-39.262833,177.864469,32,6,32,9,6,9,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/electron25202_image_20230824194051.jpeg,PAC,Earth Science
Falcon 9 Block 5 | Hotbird 13G,2022-11-03,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,863,158,203,33,25,51,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,JRTI,Communications
Soyuz 2.1b/Fregat | EKS 6 (Tundra 6) (Kosmos 2563),2022-11-02,Russian Space Forces,Government,Elliptical,"Plesetsk Cosmodrome, Russian Federation",43/4 (43R),62.92883,40.457098,1657,313,128,11,6,9,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b2ffr_image_20230802085343.jpg,,Government/Top Secret
Falcon Heavy | USSF-44,2022-11-01,SpaceX,Commercial,Direct-GEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,209,152,202,15,15,50,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520heav_image_20230723153005.jpeg,MX Landing,Government/Top Secret
Long March 5B | Mengtian,2022-10-31,China Aerospace Science and Technology Corporation,Government,LEO,"Wenchang Space Launch Site, People's Republic of China",101,19.614334,110.951011,20,9,393,5,2,41,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_5b_image_20210428182650.JPG,,Human Exploration
Long March 2D | Shiyan 20C,2022-10-29,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,176,94,392,19,11,40,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_4c_image_20230801172338.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 4-31,2022-10-28,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,706,98,201,13,11,49,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20220929203708.png,OCISLY,Communications
Soyuz 2.1a | Progress MS-21 (82P),2022-10-26,Russian Federal Space Agency (ROSCOSMOS),Government,LEO,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1536,405,308,7,6,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20230805184309.jpg,,Resupply
